,pearson,spearman
2014-12-31,0.9998658002242647,0.9997912021084091
2015-01-31,0.999848812864772,0.9997073097212944
2015-02-28,0.9998483932241369,0.9997402634693612
2015-03-31,0.9998436164282257,0.9997351530604676
2015-04-30,0.9998519028007476,0.9997628999879924
2015-05-31,0.9998549262199303,0.9997686499169849
2015-06-30,0.9998578137287284,0.9997378829198738
2015-07-31,0.9998616617799355,0.9997220475477363
2015-08-31,0.9998479357407593,0.9997197396391424
2015-09-30,0.9998297401496706,0.9996927644759033
2015-10-31,0.9998275083075566,0.9996775392303942
2015-11-30,0.9998215673359488,0.9997115592534388
2015-12-31,0.9998236375480604,0.9996704704165694
2016-01-31,0.999810702790507,0.9996858576421755
2016-02-29,0.9998131115558792,0.9996654153588939
2016-03-31,0.9998093537287804,0.9996492103990777
2016-04-30,0.9998098599075562,0.9996886098931078
2016-05-31,0.9998179643681038,0.9996814751910427
2016-06-30,0.9998023793003685,0.9996437364453169
2016-07-31,0.999800936406321,0.999671286653998
2016-08-31,0.999848716269141,0.9997292208071101
2016-09-30,0.9998667928074121,0.9997309525345128
2016-10-31,0.9998879561146792,0.9997415620685972
2016-11-30,0.999888736328685,0.9997918073299389
2016-12-31,0.9998978252762624,0.9998095027368049
2017-01-31,0.9999165847865773,0.9998197474460432
2017-02-28,0.9999244466442596,0.9998226293582669
2017-03-31,0.9999292912491988,0.999860603382774
2017-04-30,0.9999310174821487,0.9998471748981403
2017-05-31,0.9999324400724887,0.9998573862356458
2017-06-30,0.9999399816366649,0.9998786171950457
2017-07-31,0.9999436418197395,0.9998694047766992
2017-08-31,0.9999420361644322,0.9998751695913304
2017-09-30,0.9999451408182964,0.9998945334558612
2017-10-31,0.9999502095879323,0.9998959947944698
2017-11-30,0.9999527981714538,0.9998993344447945
2017-12-31,0.9999528724429846,0.9998827464639977
2018-01-31,0.9999509869652423,0.9998889133782868
2018-02-28,0.9999361477094151,0.9998489087520662
2018-03-31,0.9999302041522511,0.9998189636907309
2018-04-30,0.9999219239095902,0.999817238165934
2018-05-31,0.9999276695075857,0.9998464780828996
2018-06-30,0.9999299886010096,0.9998144708278629
2018-07-31,0.9999296907976811,0.99982972181336
2018-08-31,0.9999349421094968,0.9998344089758248
2018-09-30,0.9999369914028682,0.9998297917355954
2018-10-31,0.9999131874545762,0.9998039072346107
2018-11-30,0.9999006792721756,0.9997880377782137
2018-12-31,0.9998675053482634,0.9997357763427142
2019-01-31,0.9998370262349958,0.9996699360999222
2019-02-28,0.9998488064066215,0.9997324290908332
2019-03-31,0.9998550557329814,0.9997226289698222
2019-04-30,0.9998533898966058,0.9997333418523716
2019-05-31,0.9998453497872565,0.9996807300270236
2019-06-30,0.9998439279886462,0.9997297225075328
2019-07-31,0.9998394656556088,0.9997436763300886
2019-08-31,0.999811465716323,0.9997430338213922
2019-09-30,0.9997989173825065,0.9996966461995699
2019-10-31,0.9998175401460063,0.9996485571295334
2019-11-30,0.99983671719409,0.9997376772528824
2019-12-31,0.999871178008606,0.9997862310108979
2020-01-31,0.9998828782143787,0.9998268630866984
2020-02-29,0.9998513843207548,0.9997696775420172
2020-03-31,0.9990564960997425,0.9988252898617274
2020-04-30,0.9990285587603347,0.9987414562624874
2020-05-31,0.9990090435671308,0.9987215742602215
2020-06-30,0.9989511796137448,0.9986883076420515
2020-07-31,0.9989435660084691,0.9985752768999598
2020-08-31,0.9990067924821555,0.9986731224198372
2020-09-30,0.9989820496211549,0.9986291368191583
2020-10-31,0.9989961136095978,0.9986303846204017
2020-11-30,0.9989406797509375,0.9987139552361071
2020-12-31,0.9989275302142794,0.9987302616977082
2021-01-31,0.9989939932150953,0.9987775249575046
2021-02-28,0.9990493183051024,0.9987628746209102
2021-03-31,0.9997191292321539,0.9995974342298817
2021-04-30,0.9997929456733838,0.9997332364804027
2021-05-31,0.9998067921519469,0.9996947634225628
2021-06-30,0.9998459640504163,0.999738204855422
2021-07-31,0.9998496367955407,0.9997895341395905
2021-08-31,0.9998288866589677,0.9997217307475582
2021-09-30,0.9998513790384254,0.9997245150220645
2021-10-31,0.9998589322427616,0.9996958931054961
2021-11-30,0.9998714101573726,0.9997328286576722
2021-12-31,0.9998563497116664,0.9997408946436382
2022-01-31,0.9998573624832755,0.9997390643021131
2022-02-28,0.9998495056379049,0.999701064582375
2022-03-31,0.9998392621077764,0.9996732021617067
2022-04-30,0.999814752074721,0.9996448157905692
2022-05-31,0.9997789922734519,0.9995170436561617
2022-06-30,0.9997227978125393,0.9994254252575705
2022-07-31,0.9996998964836267,0.9994224856298081
2022-08-31,0.9996840266093995,0.9994120130976907
2022-09-30,0.9996513986398532,0.9994234041573624
2022-10-31,0.9995967748293106,0.9992723196449513
2022-11-30,0.9995648121812931,0.9992512523126548
2022-12-31,0.999555096318214,0.9992015236096762
2023-01-31,0.9995551877172486,0.9991112917009359
2023-02-28,0.9995849254159785,0.999253913380685
2023-03-31,0.9996065817869721,0.9992921243085355
2023-04-30,0.9995780107100142,0.9992614582135727
2023-05-31,0.9996486409829266,0.9993531219077595
2023-06-30,0.9996993384527683,0.999495986956175
2023-07-31,0.9997162794223838,0.9995339544988548
2023-08-31,0.9997527477729131,0.9995869812958236
2023-09-30,0.9997654502356496,0.9996155786428053
2023-10-31,0.9997932259701162,0.9996458796615219
2023-11-30,0.9998120658129908,0.9996586571995351
