panel,category,test,spec,fm_coef_DG,fm_t_DG,ls_monthly_ret,ls_t,vuong_z,vuong_p,delta_aic,pass_fail_h1,pass_fail_h2,notes
Panel D: Factor Controls,R04,,DG within size-Q3 (vol proxy),-0.0049,-4.6082,,,,,,,,
Panel D: Factor Controls,R04,,DG within size-Q4 (vol proxy),-0.0054,-4.3904,,,,,,,,
Panel D: Factor Controls,R04,,DG within size-Q5 (vol proxy),-0.0053,-3.3188,,,,,,,,
Panel D: Factor Controls,R04,,FM + CAPM beta control,-0.0046,-4.6107,,,,,,,,
Panel E: Vuong Test Stress Tests,R05,,Full sample,,,,,-8.1171,0.0,-433.8412,,,
Panel E: Vuong Test Stress Tests,R05,,1995-2004,,,,,2.5392,0.0111,22.5472,,,
Panel E: Vuong Test Stress Tests,R05,,2005-2014,,,,,-2.6819,0.0073,-93.7937,,,
Panel E: Vuong Test Stress Tests,R05,,2015-2023,,,,,-9.8657,0.0,-784.8005,,,
Panel E: Vuong Test Stress Tests,R05,,Pre-GFC,,,,,1.5321,0.1255,16.5057,,,
Panel E: Vuong Test Stress Tests,R05,,Post-GFC,,,,,-11.3436,0.0,-732.2587,,,
Panel E: Vuong Test Stress Tests,R05,,Constrained vs DH + DS (no T),,,,,2.7076,0.0068,94.3005,,,
Panel E: Vuong Test Stress Tests,R05,,Constrained vs DH + DS + T separate,,,,,-8.1171,0.0,-433.8412,,,
Panel E: Vuong Test Stress Tests,R05,,Constrained vs DH + T·DS + T as own,,,,,-8.8128,0.0,-528.5364,,,
Panel E: Vuong Test Stress Tests,R05,,Constrained vs ΔS only,,,,,3.2734,0.0011,113.9294,,,
Panel E: Vuong Test Stress Tests,R05,,Constrained vs ΔH only,,,,,2.971,0.003,117.2135,,,
Panel E: Vuong Test Stress Tests,R05,,Rolling 1995-01–1999-12,,,,,2.0946,0.0362,25.6499,,,
Panel E: Vuong Test Stress Tests,R05,,Rolling 1996-01–2000-12,,,,,0.1928,0.8471,2.9972,,,
Panel E: Vuong Test Stress Tests,R05,,Rolling 1997-01–2001-12,,,,,-0.3523,0.7246,0.9948,,,
Panel E: Vuong Test Stress Tests,R05,,Rolling 1998-01–2002-12,,,,,-2.6039,0.0092,-18.6023,,,
Panel E: Vuong Test Stress Tests,R05,,Rolling 1999-01–2003-12,,,,,-3.2072,0.0013,-37.6079,,,
Panel E: Vuong Test Stress Tests,R05,,Rolling 2000-01–2004-12,,,,,-0.9351,0.3497,-4.8807,,,
Panel E: Vuong Test Stress Tests,R05,,Rolling 2001-01–2005-12,,,,,-0.1737,0.8621,0.7286,,,
Panel E: Vuong Test Stress Tests,R05,,Rolling 2002-01–2006-12,,,,,0.065,0.9482,2.6717,,,
Panel E: Vuong Test Stress Tests,R05,,Rolling 2003-01–2007-12,,,,,-6.5422,0.0,-209.1402,,,
Panel E: Vuong Test Stress Tests,R05,,Rolling 2004-01–2008-12,,,,,-7.907,0.0,-666.2029,,,
Panel E: Vuong Test Stress Tests,R05,,Rolling 2005-01–2009-12,,,,,-4.1644,0.0,-115.6106,,,
Panel E: Vuong Test Stress Tests,R05,,Rolling 2006-01–2010-12,,,,,-4.6625,0.0,-145.0945,,,
Panel E: Vuong Test Stress Tests,R05,,Rolling 2007-01–2011-12,,,,,-6.1499,0.0,-230.044,,,
Panel E: Vuong Test Stress Tests,R05,,Rolling 2008-01–2012-12,,,,,-4.6358,0.0,-152.5712,,,
Panel E: Vuong Test Stress Tests,R05,,Rolling 2009-01–2013-12,,,,,-5.6837,0.0,-250.0418,,,
Panel E: Vuong Test Stress Tests,R05,,Rolling 2010-01–2014-12,,,,,-4.6972,0.0,-65.9996,,,
Panel E: Vuong Test Stress Tests,R05,,Rolling 2011-01–2015-12,,,,,-3.0992,0.0019,-29.5499,,,
Panel E: Vuong Test Stress Tests,R05,,Rolling 2012-01–2016-12,,,,,-1.5924,0.1113,-7.8852,,,
Panel E: Vuong Test Stress Tests,R05,,Rolling 2013-01–2017-12,,,,,-0.5617,0.5743,0.9541,,,
Panel E: Vuong Test Stress Tests,R05,,Rolling 2014-01–2018-12,,,,,-3.1598,0.0016,-40.4491,,,
Panel E: Vuong Test Stress Tests,R05,,Rolling 2015-01–2019-12,,,,,-4.3375,0.0,-109.0234,,,
Panel E: Vuong Test Stress Tests,R05,,Rolling 2016-01–2020-12,,,,,-6.8181,0.0,-528.7668,,,
Panel E: Vuong Test Stress Tests,R05,,Rolling 2017-01–2021-12,,,,,-7.4607,0.0,-771.9528,,,
Panel E: Vuong Test Stress Tests,R05,,Rolling 2018-01–2022-12,,,,,-8.7451,0.0,-1007.2269,,,
Panel E: Vuong Test Stress Tests,R05,,Baseline T (market vol),,,,,-8.1171,0.0,-433.8412,,,
Panel E: Vuong Test Stress Tests,R05,,T = CS return dispersion,,,,,-5.3361,0.0,-171.6563,,,
Panel E: Vuong Test Stress Tests,R05,,T = 12m realized vol,,,,,-2.1628,0.0306,-61.0115,,,
Panel E: Vuong Test Stress Tests,R05,,Full AIC/BIC decomposition,,,,,-8.1171,0.0,,,,
Panel F: Regime Identification,R06,,Threshold median: High-T (disordered),-0.0072,-3.4437,,,,,,,,
Panel F: Regime Identification,R06,,Threshold median: Low-T (ordered),-0.0021,-2.235,,,,,,,,
Panel F: Regime Identification,R06,,Threshold Q3: High-T (disordered),-0.0087,-3.8919,,,,,,,,
Panel F: Regime Identification,R06,,Threshold Q3: Low-T (ordered),-0.0026,-2.1978,,,,,,,,
Panel F: Regime Identification,R06,,Threshold Q1: High-T (disordered),-0.0053,-3.1642,,,,,,,,
Panel F: Regime Identification,R06,,Threshold Q1: Low-T (ordered),-0.0033,-3.6399,,,,,,,,
Panel F: Regime Identification,R06,,Markov High-T (disordered),-0.0056,-3.1187,,,,,,,,
Panel F: Regime Identification,R06,,Markov Low-T (ordered),-0.0032,-3.6825,,,,,,,,
Panel F: Regime Identification,R06,,DG + T,-0.0047,-3.9768,,,,,,,,
Panel F: Regime Identification,R06,,DG + T + DG×T,-2319798619.9197,-1.7887,,,,,,,,
Panel F: Regime Identification,R06,,DG×T alone,0.0004,0.4081,,,,,,,,
Panel F: Regime Identification,R06,,T window=12m,-0.0047,-3.9658,,,,,,,,
Panel F: Regime Identification,R06,,T window=24m,-0.0048,-3.9929,,,,,,,,
Panel F: Regime Identification,R06,,T window=36m,-0.0049,-3.9858,,,,,,,,
Panel F: Regime Identification,R06,,T window=60m,-0.005,-3.9796,,,,,,,,
Panel F: Regime Identification,R06,,High-T (disordered),,,-0.0196,-3.5072,,,,,,
Panel F: Regime Identification,R06,,Low-T (ordered),,,-0.0042,-1.3921,,,,,,
Panel G: Alternative Explanations,R07,,FM: DG + DS_z (AHXZ control),-0.0033,-1.5394,,,,,,,,
Panel G: Alternative Explanations,R07,,FM on DG residual (orthog to DS_z),-0.0033,-1.5394,,,,,,,,
Panel G: Alternative Explanations,R07,,DG + 12m vol,-0.0019,-1.7671,,,,,,,,
Panel G: Alternative Explanations,R07,,DG + ΔH (quality proxy),,-1.2777,,,,,,,,
Panel G: Alternative Explanations,R07,,DG + ΔH + ΔS,,-1.5633,,,,,,,,
Panel G: Alternative Explanations,R07,,DH + DS (no DG),,,,,,,,,,
Panel G: Alternative Explanations,R07,,DG + past_ret (growth proxy),-0.0043,-3.6666,,,,,,,,
Panel G: Alternative Explanations,R07,,OLS: ret ~ DG,,,,,,,,,,
Panel G: Alternative Explanations,R07,,OLS: ret ~ DH_z,,,,,,,,,,
Panel G: Alternative Explanations,R07,,OLS: ret ~ DS_z,,,,,,,,,,
Panel H: Microstructure and Timing,R08,,After 0 bps TC,,,,,,,,,,
Panel H: Microstructure and Timing,R08,,After 10 bps TC,,,,,,,,,,
Panel H: Microstructure and Timing,R08,,After 20 bps TC,,,,,,,,,,
Panel H: Microstructure and Timing,R08,,After 30 bps TC,,,,,,,,,,
Panel H: Microstructure and Timing,R08,,After 50 bps TC,,,,,,,,,,
Panel H: Microstructure and Timing,R08,,Baseline (t+1),-0.0047,-3.9806,,,,,,,,
Panel H: Microstructure and Timing,R08,,Skip-month (t+2),-0.0045,-3.7349,,,,,,,,
Panel H: Microstructure and Timing,R08,,1m,-0.0046,-3.9208,,,,,,,,
Panel H: Microstructure and Timing,R08,,3m,-0.0137,-3.8739,,,,,,,,
Panel H: Microstructure and Timing,R08,,6m,-0.0274,-4.0765,,,,,,,,
Panel H: Microstructure and Timing,R08,,12m,-0.0574,-4.3697,,,,,,,,
Panel H: Microstructure and Timing,R08,,Monthly portfolio turnover,,,,,,,,,,
Panel H: Microstructure and Timing,R08,,Full sample,,-3.9806,-0.0119,-3.7019,,,,,,
Panel H: Microstructure and Timing,R08,,Liquid stocks (low vol 50%),,-4.2619,-0.0059,-4.1628,,,,,,
Panel I: Economic Significance,R09,,L/S (Q5-Q1),,,,,,,,,,
Panel I: Economic Significance,R09,,Q1 (pure long),,,,,,,,,,
Panel I: Economic Significance,R09,,Q2 (pure long),,,,,,,,,,
Panel I: Economic Significance,R09,,Q3 (pure long),,,,,,,,,,
Panel I: Economic Significance,R09,,Q4 (pure long),,,,,,,,,,
Panel I: Economic Significance,R09,,Q5 (pure long),,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
