q,beta_dH,beta_dS,T,n_stocks
2011Q3,0.019129116897702112,0.024825964971609,0.0454265648362243,3867
2011Q4,0.012684527845781179,-0.01225792438296915,0.054497670803166226,3853
2012Q1,0.008710567032667607,-0.016183863911843715,0.05343142863803557,3857
2012Q2,0.001796734266450955,-0.011931628776895395,0.055117181885293895,3813
2012Q3,0.01318538019906071,0.021862388443945543,0.039694403440266084,3756
2012Q4,-0.00044321770319502487,0.004532205182757621,0.030392927869362645,3740
2013Q1,0.015352120487654318,0.009420110375749214,0.0303189917789886,3799
2013Q2,0.008357982352466117,-0.003611479538291845,0.029606371141127175,3749
2013Q3,-0.01938286912607191,0.04570094360756883,0.028560869722345637,3699
2013Q4,0.004132706443846236,-0.047349339054442566,0.028005384066875975,3684
2014Q1,0.00974701617907261,-0.0006315704983373598,0.02864153520841139,3735
2014Q2,0.028964145921966254,-0.030465237344343962,0.027208727197073367,3706
2014Q3,0.015658398093703896,0.008132997924637717,0.027279623998012648,3651
2014Q4,0.005392068517377862,-0.004126700655244941,0.02860336130080165,3632
2015Q1,0.024104507173261788,-0.024724827521727933,0.02910480953133914,3677
2015Q2,0.024745765698858543,-0.02514063730953337,0.028988412606176427,3638
2015Q3,0.015072580804874464,-0.03704481813970218,0.033864047874371826,3561
2015Q4,0.012983545190575997,0.004587801358379897,0.03405372444017352,3552
2016Q1,-0.0014333814535860913,0.003264307708484451,0.03640665215772734,3668
2016Q2,0.01113648798970747,-0.020965487227387447,0.037946559778578914,3627
2016Q3,0.018672688170612177,0.000387608165362862,0.033229966933779435,3592
2016Q4,0.008271562062113328,-0.02240420910733622,0.03117366710252369,3554
2017Q1,0.004884641580320384,-0.02728029538066362,0.026884487122826137,3620
2017Q2,0.004208092351620025,0.004604463634230089,0.024821432546418987,3606
2017Q3,0.009047770354191019,0.006750729557645916,0.02415260852593895,3551
2017Q4,0.013519953868416755,0.005911471134098901,0.023465982290316927,3527
2018Q1,0.012615445967404302,-0.012027640504061425,0.028061155264140422,3562
2018Q2,0.0008304588024866932,-0.02006873032664104,0.02942558551560999,3534
2018Q3,0.0004565173356266695,-0.0173897341027589,0.029464387335182165,3482
2018Q4,-0.0030713374059294285,-0.029990026255343395,0.03769606759849428,3453
2019Q1,0.02409069260597745,-0.03657236101538186,0.03529346765183266,3511
2019Q2,0.02405979606920639,-0.0217842187749613,0.03507978214369846,3478
2019Q3,0.015171979664437217,-0.011218392427934591,0.03769924394397973,3437
2019Q4,-0.020851280808451625,0.14035441921519964,0.03036820860439856,3436
2020Q1,-0.034993208016113345,0.060214073997898826,0.07392517843703227,3495
2020Q2,0.02677736527076272,-0.001748006557723879,0.08709658533125553,3477
2020Q3,-0.056557291561785995,0.15280030104722905,0.08810236382359121,3449
2020Q4,0.02722017545310878,-0.06467178688003564,0.09069301660239759,3431
2021Q1,-0.0004866773063633954,-0.006566558789285479,0.048415672889070276,3493
2021Q2,0.014146413116882188,-0.0042568688256533,0.035117370075393776,3467
2021Q3,0.022388181079525393,-0.0749857167365374,0.03251252709423008,3419
2021Q4,0.019756430655982156,-0.04301784520821775,0.031790097552582594,3398
2022Q1,-0.0073220919388224245,0.025394651299549438,0.03509637143259816,3413
2022Q2,0.029523469356072692,-0.03850744360589889,0.046116261608421895,3386
2022Q3,0.014577137805774213,-0.036401191194422505,0.051360209260674326,3369
2022Q4,-0.0027938813051944606,-0.004627705503323568,0.057420924344831994,3368
2023Q1,0.023709169563420507,-0.011613815292550733,0.054241071934261406,3495
2023Q2,0.018890707603296218,-0.04865378536124125,0.0433992977311395,3568
2023Q3,0.047576404695520734,0.04345890321773286,0.0383636657164856,3552
